                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25822,                 0.8254,                      1,                 0.5683,             0.00023584,             0.00023584,             0.00023584
                      2,                0.09169,                 0.8254,                      1,                0.53626,             0.00042693,             0.00042693,             0.00042693
                      3,                0.04201,                0.86621,                      1,                0.51886,             0.00057089,             0.00057089,             0.00057089
                      4,                0.03256,                0.88889,                      1,                0.50891,             0.00050194,             0.00050194,             0.00050194
                      5,                0.01657,                0.87982,                      1,                0.50804,             0.00050194,             0.00050194,             0.00050194
                      6,                0.01622,                0.86848,                      1,                0.51046,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00874,                0.87982,                      1,                0.50364,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00522,                0.87528,                      1,                0.50326,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.0024,                0.88889,                      1,                0.50115,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00182,                0.88889,                      1,                0.50176,             0.00014851,             0.00014851,             0.00014851
