                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25864,                 0.8254,                      1,                0.56837,             0.00023584,             0.00023584,             0.00023584
                      2,                0.09175,                0.82313,                      1,                 0.5363,             0.00042693,             0.00042693,             0.00042693
                      3,                0.04206,                0.86395,                      1,                0.51888,             0.00057089,             0.00057089,             0.00057089
                      4,                0.03256,                0.88889,                      1,                0.50932,             0.00050194,             0.00050194,             0.00050194
                      5,                0.01665,                0.88209,                      1,                0.50832,             0.00050194,             0.00050194,             0.00050194
                      6,                0.01612,                0.87302,                      1,                0.51032,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00867,                0.87755,                      1,                0.50463,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00519,                0.87302,                      1,                0.50363,             0.00028988,             0.00028988,             0.00028988
                      9,                0.00224,                0.88889,                      1,                0.50164,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00183,                0.88209,                      1,                0.50274,             0.00014851,             0.00014851,             0.00014851
